,EMA,CMO,MINUSDM,PLUSDM,CLOSE,CLOSEL1,CLOSEL2,CLOSEL3,3O,CMB,UP_DOWN
8190,19251.47266594199,-8.60191971872129,382.10292720949224,234.41776897837377,19179.32,19171.66,19154.64,19195.71,0,0,0
8191,19243.8714596618,-9.666761675976531,362.9977808490176,222.6968805294551,19171.66,19154.64,19195.71,19210.8,0,0,0
8192,19235.373225408297,-12.062983336537393,344.84789180656674,211.56203650298232,19154.64,19195.71,19210.8,19227.74,0,0,1
8193,19231.595775369413,-4.988989031122648,327.6054972162384,220.82393467783336,19195.71,19210.8,19227.74,19201.69,0,1,1
8194,19229.61522533423,-2.486849072590972,311.22522235542647,226.44273794394155,19210.8,19227.74,19201.69,19222.39,1,0,1
8195,19229.436632445257,0.32036067706113175,295.66396123765514,231.69060104674418,19227.74,19201.69,19222.39,19195.31,0,0,0
8196,19226.7940960219,-3.9388133555939078,280.88076317577236,225.6960709944071,19201.69,19222.39,19195.31,19185.04,0,0,1
8197,19226.374658305525,-0.37431904692760587,266.83672501698373,216.13126744468792,19222.39,19195.31,19185.04,19261.9,0,0,0
8198,19223.416119419286,-4.867004885982747,262.6548887661344,205.32470407245353,19195.31,19185.04,19261.9,19290.69,0,0,0
8199,19219.761250903164,-6.549350614076908,298.05214432782645,195.05846886883086,19185.04,19261.9,19290.69,19277.4,0,0,1
8200,19223.774465102862,6.479266345464183,283.1495371114351,290.1155454253906,19261.9,19290.69,19277.4,19307.68,0,0,1
8201,19230.147373188305,10.780801776210362,268.99206025586335,296.33976815412063,19290.69,19277.4,19307.68,19361.51,0,0,0
8202,19234.64762336085,8.358990699242003,255.54245724307017,281.5227797464146,19277.4,19307.68,19361.51,19334.54,0,0,1
8203,19241.603087802672,12.92439798488707,242.76533438091667,321.7166407590943,19307.68,19361.51,19334.54,19292.07,0,0,1
8204,19253.022793726228,20.349822937565275,230.62706766187083,352.35080872113707,19361.51,19334.54,19292.07,19311.15,1,0,0
8205,19260.786337180874,15.17020268992321,219.09571427877728,334.7332682850802,19334.54,19292.07,19311.15,19311.12,0,0,0
8206,19263.765733639837,7.501124252712028,235.91092856483885,317.9966048708262,19292.07,19311.15,19311.12,19255.27,0,1,1
8207,19268.278520912234,10.325008537789277,234.03538213659516,302.0967746272849,19311.15,19311.12,19255.27,19127.7,0,0,0
8208,19272.358661777736,10.319434348046865,222.3336130297654,298.90193589592053,19311.12,19255.27,19127.7,19143.12,0,0,0
8209,19270.731170179857,0.38059103590559396,291.7269323782791,283.9568391011245,19255.27,19127.7,19143.12,19063.46,0,0,0
8210,19257.10915397225,-17.4918015231064,371.920585759364,269.7589971460683,19127.7,19143.12,19063.46,19124.41,0,1,1
8211,19246.25304407013,-14.88910222383912,378.6845564713964,256.27104728876486,19143.12,19063.46,19124.41,19344.12,0,0,0
8212,19228.844182730118,-24.039435996881846,447.6603286478264,243.45749492432662,19063.46,19124.41,19344.12,19227.67,0,0,1
8213,19218.898070089155,-14.154903403237673,425.2773122154351,231.2846201781103,19124.41,19344.12,19227.67,19165.23,0,1,1
8214,19230.8239681759,12.348807835790888,404.01344660466333,453.6703891692018,19344.12,19227.67,19165.23,19239.16,0,0,0
8215,19230.523590254386,-0.5351111543494654,383.8127742744302,430.98686971074176,19227.67,19165.23,19239.16,19252.4,0,1,0
